,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
9407,5,Niagara,Porter (Town),1.3 MI SW OF RANSOMVILLE,BALMER ROAD,TWELVEMILE CREEK,County,1986,7,25
6376,1,Greene,Hunter (Town),1 MI N LANESVILLE,DIAMOND NOTCH RD.,HOLLOW TREE BROOK,County,1915,7,25
1655,5,Cattaraugus,Ellicottville (Town),5.7 M  N JCT RTS 219 + 98,219 219 51013101,CROWLEY CREEK,NYSDOT,1936,7,25
13122,1,Saratoga,Moreau (Town),JCT RTE 9 & I87,9   9 15093108,87I 87I15091325,NYSDOT,1960,7,25
5876,7,Franklin,Fort Covington (Town),1.9 MI SE OF FORT COVINGT,CUSHMAN ROAD,E BR DEER CREEK,County,1976,7,25
9901,2,Oneida,Verona (Town),3.7 MI W EXIT 33 OF I90,RANDEL RD,90IX,NYS Thruway Authority,1953,7,25
16992,8,Westchester,North Castle (Town),2 MI N EXIT 3 OF I684,BYRAM LAKE ROAD,684I684I87011090,NYSDOT,1971,7,25
3333,7,Clinton,Mooers (Town),2.1MI S MOOERS FORKS,GILBERT ROAD,GREAT CHAZY RIVER,County,2004,7,25
7320,11,Kings,New York (City),AT JCT I278 & BSHP,VERZ NAR TO 907C,907CX,MTA Bridges and Tunnels (aka TBTA),1961,7,25
3223,7,Clinton,Altona (Town),2.1MI SW ALTONA,190 190 71021173,STILLWATER BROOK,NYSDOT,1948,7,25
7665,2,Madison,Brookfield (Town),4.25 MI S OF BROOKFIELD,CR99 BEAVER CREEK RD,BEAVER CREEK,County,1948,7,25
11207,4,Orleans,Yates (Town),1.3 MI E SHADIGEE,LAKE SHORE ROAD,MARSH CREEK,County,1930,7,25
6699,2,Herkimer,Ohio (Town),1.5 MI E OF WILMURT CRNR,ATWOOD LAKE ROAD,FOURMILE CREEK,Town,1996,7,25
3343,7,Clinton,Peru (Town),0.1 MI S JCT RTS 22 + 22B,22  22 71101061,LITTLE AUSABLE R.,NYSDOT,1974,7,25
3882,9,Delaware,Bovina (Town),0.6 MI WEST OF BOVINA,CR 6,TRIB LTTL DELAWRE,County,1996,7,25
10476,4,Ontario,East Bloomfield (Town),2 MI E HOLMCOMB ON CR 30,NO BLOOMFIELD RD,SHAFFER CREEK,County,1986,7,25
12283,11,Queens,New York (City),JFK International Airport,VI-ARR,Local Street,Port Authority of NY and NJ,2001,7,25
9729,2,Oneida,Rome (City),3 MILES SW OF ROME,CR50 GREENWAY NEW LONDON RD,MUD  CREEK,County,1984,7,25
15723,3,Tompkins,Newfield (Town),1.0 MI NE 13 +SCHUYLER CL,13  13 36031010,CHAFFEE CREEK,NYSDOT,1959,7,25
13149,1,Saratoga,Providence (Town),1.5 MI NW JCT SH149 &SH29,POTTER HOLLW ROAD,ALDER CREEK,County,2001,7,25
15708,3,Tompkins,Lansing (Town),3MI NE OF LUDLOWVILLE,Brown Hill Road,LOCKE CREEK,County,1930,7,25
12005,11,Queens,New York (City),.7 MI NE JCT I678 & SH 25,678I678IX5M12082,LINDEN PLACE,NYSDOT,1963,7,25
15660,3,Tompkins,Ithaca (City),IN ITHACA,89  89 36011104,FLOOD CNT CHANNEL,NYSDOT,1997,7,25
11703,9,Otsego,Worcester (Town),1.7 MI SW OF E WORCESTER,88I 88I94063208,SCHENEVUS CREEK,NYSDOT,1979,7,25
13118,1,Saratoga,Milton (Town),1 MI SE W MILTON,DEWAR ROAD,GLOWEGEE CREEK,County,1996,7,25
13784,7,St Lawrence,Hammond (Town),5.6 MI NE JCT RTE 12 + CL,12  12 75071066,CHIPPEWA CREEK,NYSDOT,1967,7,25
8683,10,Nassau,Hempstead (Town),JCT RTS 135+SSP,135 135 03011036,908M908M03011134,NYSDOT,1966,7,25
11998,11,Queens,New York (City),WHITESTONE EXPRESSWAY NB,678I678IX5M11081,678I 678I0E011081,NYSDOT,1984,7,25
13399,9,Schoharie,Esperance (Town),0.3 MI W JCT US 20 & SH 3,20  20 95181172,FLY CREEK,NYSDOT,1941,7,25
7023,7,Jefferson,Rodman (Town),1.25 MILES SO OF RODMAN,COUNTY ROAD 97,FISH CREEK,County,1938,7,25
1932,5,Cattaraugus,Portville (Town),1.4 MI NE OF PORTVILLE,YUBADAM ROAD,DODGE CREEK,County,1971,7,25
8624,2,Montgomery,Root (Town),SPRAKERS,CR107 SPRAKERS ROAD,FLAT CREEK,County,1939,7,25
10397,3,Onondaga,Syracuse (City),OFF RAMP - I690 EB TO SH,RAMP DD,690I690I33032020,NYSDOT,1968,7,25
5775,1,Essex,Wilmington (Town),1.2 MI NE WHITEFACE SKI,86  86 12021196,W BR AUSABLE RIVER,NYSDOT,1960,7,25
16460,1,Washington,Whitehall (Town),.5 MI NNE OF WHITEHALL,EAST BAY ROAD,EAST BAY,County,1948,7,25
10972,8,Orange,Wallkill (Town),0.5 MI SE Jct 17 + 84,East Main St,17  17 83101090,NYSDOT,2014,7,25
